"hafasId";"rmvId";"dhId";"hstName";"nameFahrPlan";"xIplWert";"yIplWert";"xWgs84";"yWgs84";"lno";"istBahnhof";"gueltigAb";"gueltigBis";"verbund1IstGleichRmv";"land";"rp";"landKreis";"gemeindeName";"ortsTeilName";"agsLand";"agsRp";"agsLk";"agsG";"agsOt"
"3002748";"2748";"de:06438:2748";"Ev. Kirche";"Egelsbach Evangelische Kirche";"3476218";"5537080";"8,66746247223957";"49,9696129678281";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Egelsbach";"Egelsbach";"06";"4";"38";"003";"000"
"3002749";"2749";"de:06438:2749";"Ostendstraße";"Egelsbach Ostendstraße";"3476668";"5537007";"8,67373936141398";"49,9689744480924";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Egelsbach";"Egelsbach";"06";"4";"38";"003";"000"
"3002750";"2750";"de:06438:2750";"Bayerseich";"Egelsbach Bayerseich";"3476619";"5535298";"8,67316020574712";"49,9536080020606";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Egelsbach";"Egelsbach";"06";"4";"38";"003";"000"
"3002752";"2752";"de:06438:2752";"Max-Planck-Straße";"Dreieich-Sprendlingen Max-Planck-Straße";"3479206";"5543481";"8,7087650646687";"50,0272717729494";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Dreieich";"Sprendlingen";"06";"4";"38";"002";"050"
"3002753";"2753";"de:06438:2753";"Einsteinstraße";"Dreieich-Sprendlingen Einsteinstraße";"3479189";"5543737";"8,70851392172291";"50,0295726920054";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Dreieich";"Sprendlingen";"06";"4";"38";"002";"050"
"3002754";"2754";"de:06438:2754";"Im Gefierth";"Dreieich-Sprendlingen Im Gefierth";"3478880";"5543498";"8,7042146267755";"50,0274131265079";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Dreieich";"Sprendlingen";"06";"4";"38";"002";"050"
"3002755";"2755";"de:06438:2755";"Boschring";"Egelsbach Boschring";"3476482";"5536168";"8,67119806478919";"49,9614242357433";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Egelsbach";"Egelsbach";"06";"4";"38";"003";"000"
"3002756";"2756";"de:06438:2756";"Theodor-Heuss-Straße";"Egelsbach Theodor-Heuss-Straße";"3476450";"5535849";"8,67077161937543";"49,9585550481548";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Egelsbach";"Egelsbach";"06";"4";"38";"003";"000"
"3002757";"2757";"de:06438:2757";"Leukertsweg";"Langen (Hessen) Leukertsweg";"3476617";"5538698";"8,67292565192565";"49,9841751106574";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Langen (Hessen)";"Langen (Hessen)";"06";"4";"38";"006";"000"
"3002758";"2758";"de:06438:2758";"Wilhelmstraße";"Langen (Hessen) Wilhelmstraße";"3476877";"5538588";"8,67655745382022";"49,9831963176977";"KVG OF";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Offenbach";"Langen (Hessen)";"Langen (Hessen)";"06";"4";"38";"006";"000"
